,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
57,Dominican Republic,DOM,1.88829004764557,1.96782994270325,1.9140100479126,1.8446500301361102,,,,2.0467898845672603,,,,,,,,,,,,
58,Algeria,DZA,,,,,,,,,4.33701992034912,,,,,,,,,,,
59,East Asia & Pacific (excluding high income),EAP,4.20893001556396,2.69233500957489,2.89222002029419,,2.74847006797791,,,3.07841992378235,3.5085000991821302,3.8619399070739706,4.07677006721497,4.60902976989746,4.8659598827362105,4.53239512443542,,,,,,
60,Early-demographic dividend,EAR,3.98310995101929,4.08877992630005,3.4077301025390603,3.57422995567322,3.41953003406525,,4.00178003311157,3.56352996826172,4.12538993358612,,4.02741003036499,3.7961800098419203,3.71247005462646,,,,,,,
61,East Asia & Pacific,EAS,,3.49978005886078,3.86491990089417,,3.65276002883911,,,3.3927450180053698,3.41382503509521,4.39212989807129,3.63949990272522,4.1258049011230495,4.53670978546143,4.12402009963989,4.15271997451782,,,,,
62,Europe & Central Asia (excluding high income),ECA,3.34339499473572,3.3842399120330797,3.1544599533081095,3.2861499786377,3.22751998901367,3.6420300006866495,3.4035000801086404,3.54795503616333,4.101749897003169,4.27628993988037,,4.08673501014709,3.90556514263154,,,3.81152498722077,3.86126506328583,4.0925002098083505,,
63,Europe & Central Asia,ECS,4.16614007949829,4.65009021759033,4.4389348030090305,4.67322993278504,4.7387900352478,4.87383985519409,4.82054996490479,4.67206001281738,4.88065004348755,5.05774998664856,5.22003984451294,4.9698600769042995,4.81181001663208,5.02495002746582,5.12400007247925,4.88554000854492,4.82100009918213,4.78323984146118,,
64,Ecuador,ECU,1.15093004703522,,,,,,,,,4.342420101165771,4.50743007659912,4.72689008712769,4.64307022094727,5.00464010238647,5.26099014282227,4.99870014190674,,,,
65,"Egypt, Arab Rep.",EGY,,,,4.945630073547361,4.67072010040283,4.79442977905273,4.00178003311157,3.6846098899841295,3.76082992553711,,,,,,,,,,,
66,Euro area,EMU,4.58512020111084,5.22460985183716,5.25871992111206,5.07451009750366,4.9618649482727095,4.97356986999512,4.82054996490479,4.68449020385742,5.109519958496089,5.56314992904663,5.47338008880615,5.1270899772644,4.95658016204834,5.33460998535156,5.27489995956421,4.90953016281128,4.82100009918213,4.93924999237061,,
67,Eritrea,ERI,,4.04716014862061,3.52390003204346,,3.14896988868713,,2.12700009346008,,,,,,,,,,,,,
