,LOCATION,Country,INDICATOR,SUBJECT,MEASURE,Year,Value_edu,Value_tu
233,FIN,Finland,EDUADULT,TRY,PC_25_64,2014,41.776676,67.6
235,FIN,Finland,EDUADULT,UPPSRY,PC_25_64,2014,44.730209,67.6
237,FIN,Finland,EDUADULT,BUPPSRY,PC_25_64,2015,12.847135,66.4
239,FIN,Finland,EDUADULT,TRY,PC_25_64,2015,42.742619,66.4
241,FIN,Finland,EDUADULT,UPPSRY,PC_25_64,2015,44.410244,66.4
243,FIN,Finland,EDUADULT,BUPPSRY,PC_25_64,2016,12.091855,64.9
245,FIN,Finland,EDUADULT,TRY,PC_25_64,2016,43.595264,64.9
247,FIN,Finland,EDUADULT,UPPSRY,PC_25_64,2016,44.312881,64.9
249,FIN,Finland,EDUADULT,BUPPSRY,PC_25_64,2017,11.896179,62.2
251,FIN,Finland,EDUADULT,TRY,PC_25_64,2017,44.304253,62.2
253,FIN,Finland,EDUADULT,UPPSRY,PC_25_64,2017,43.799568,62.2
255,FIN,Finland,EDUADULT,BUPPSRY,PC_25_64,2018,10.926194,60.3
256,FIN,Finland,EDUADULT,TRY,PC_25_64,2018,45.188133,60.3
257,FIN,Finland,EDUADULT,UPPSRY,PC_25_64,2018,43.885674,60.3
258,FRA,France,EDUADULT,BUPPSRY,PC_25_64,2009,29.745791999999998,8.8
259,FRA,France,EDUADULT,TRY,PC_25_64,2009,28.588057,8.8
260,FRA,France,EDUADULT,UPPSRY,PC_25_64,2009,41.666153,8.8
261,FRA,France,EDUADULT,BUPPSRY,PC_25_64,2010,29.233321999999998,9.0
263,FRA,France,EDUADULT,TRY,PC_25_64,2010,29.006897,9.0
265,FRA,France,EDUADULT,UPPSRY,PC_25_64,2010,41.759781,9.0
267,FRA,France,EDUADULT,BUPPSRY,PC_25_64,2011,28.385553,9.1
268,FRA,France,EDUADULT,TRY,PC_25_64,2011,29.767,9.1
269,FRA,France,EDUADULT,UPPSRY,PC_25_64,2011,41.847446000000005,9.1
270,FRA,France,EDUADULT,BUPPSRY,PC_25_64,2012,27.465465999999996,9.1
271,FRA,France,EDUADULT,TRY,PC_25_64,2012,30.856122999999997,9.1
272,FRA,France,EDUADULT,UPPSRY,PC_25_64,2012,41.67841,9.1
273,FRA,France,EDUADULT,BUPPSRY,PC_25_64,2013,25.153783999999998,9.0
275,FRA,France,EDUADULT,TRY,PC_25_64,2013,32.105263,9.0
277,FRA,France,EDUADULT,UPPSRY,PC_25_64,2013,42.740952,9.0
279,FRA,France,EDUADULT,BUPPSRY,PC_25_64,2014,22.681496,9.0
280,FRA,France,EDUADULT,TRY,PC_25_64,2014,33.539047,9.0
281,FRA,France,EDUADULT,UPPSRY,PC_25_64,2014,43.779457,9.0
282,FRA,France,EDUADULT,BUPPSRY,PC_25_64,2015,22.467602,9.0
283,FRA,France,EDUADULT,TRY,PC_25_64,2015,34.085361,9.0
284,FRA,France,EDUADULT,UPPSRY,PC_25_64,2015,43.447037,9.0
285,FRA,France,EDUADULT,BUPPSRY,PC_25_64,2016,21.89171,9.0
287,FRA,France,EDUADULT,TRY,PC_25_64,2016,34.582485,9.0
289,FRA,France,EDUADULT,UPPSRY,PC_25_64,2016,43.525806,9.0
291,FRA,France,EDUADULT,BUPPSRY,PC_25_64,2017,21.615114000000002,8.9
292,FRA,France,EDUADULT,TRY,PC_25_64,2017,35.213791,8.9
293,FRA,France,EDUADULT,UPPSRY,PC_25_64,2017,43.171093,8.9
294,FRA,France,EDUADULT,BUPPSRY,PC_25_64,2018,20.640024,8.8
295,FRA,France,EDUADULT,TRY,PC_25_64,2018,36.897490999999995,8.8
296,FRA,France,EDUADULT,UPPSRY,PC_25_64,2018,42.462482,8.8
297,DEU,Germany,EDUADULT,BUPPSRY,PC_25_64,2009,14.520242999999999,18.8
298,DEU,Germany,EDUADULT,TRY,PC_25_64,2009,26.385326,18.8
299,DEU,Germany,EDUADULT,UPPSRY,PC_25_64,2009,59.094432999999995,18.8
300,DEU,Germany,EDUADULT,BUPPSRY,PC_25_64,2010,14.189682999999999,18.9
301,DEU,Germany,EDUADULT,TRY,PC_25_64,2010,26.609147999999998,18.9
302,DEU,Germany,EDUADULT,UPPSRY,PC_25_64,2010,59.201168,18.9
303,DEU,Germany,EDUADULT,BUPPSRY,PC_25_64,2011,13.749629999999998,18.4
304,DEU,Germany,EDUADULT,TRY,PC_25_64,2011,27.562323,18.4
305,DEU,Germany,EDUADULT,UPPSRY,PC_25_64,2011,58.688049,18.4
