,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
52,Czech Republic,CZE,342.92105103,388.54403687,497.74203491,640.66040039,746.32891846,852.65246582,942.11804199,1110.17663574,1449.33679199,1442.24279785,1373.9317627,1516.55541992,1387.40600586,1554.5090332,1512.92614746,1284.04675293,1321.62023926,1475.91516113,1765.58837891
53,Germany,DEU,2344.35473633,2346.61499023,2567.49145508,3152.78051758,3459.80957031,3558.19824219,3697.92163086,4182.79931641,4669.63525391,4674.78320313,4611.81054688,5036.48486328,4762.84765625,5096.82080078,5304.31884766,4622.20654297,4742.03417969,5052.67333984,5472.20214844
54,Djibouti,DJI,31.95798492,31.04225731,40.19449615,46.11334229,40.28805161,40.95962524,47.32995605,50.44793701,53.96245575,55.32074356,56.2014122,68.77837372,72.22033691,67.53491211,73.12316895,82.28987885,76.86833954,72.23476409999999,70.86093903
55,Dominica,DMA,254.78555298,226.96006775,222.09385681,237.35446167,247.45881653,256.73413086,263.91165161,285.24041748,326.64169312,344.11965942,359.22134399,376.95007324,396.81378174,375.10510254,385.15658569,393.93655396,415.88751221,398.70941162,490.81829834
56,Denmark,DNK,2496.04711914,2602.64282227,2895.80737305,3607.04296875,4194.87353516,4442.75537109,4778.89160156,5468.37939453,6137.77636719,6221.68896484,6011.53808594,6281.00439453,6003.83056641,6236.55419922,6380.78466797,5469.33496094,5565.59326172,5800.15283203,6216.76855469
57,Dominican Republic,DOM,140.13885498,145.35366821,155.09561157,106.13856506,106.65016174,171.23001099,164.10038757,198.07254028,240.41107178,256.35791016,309.95718384,335.00128174,359.60818481,359.57055664,380.07550049,400.38494873,424.30017089999996,443.67068481,461.54251099
58,Algeria,DZA,61.58218002,66.80211639,66.46335602,75.74335479999999,92.50652313,100.71382904,116.71431732,150.96563721,206.88519287,208.11991882,229.28945923,287.38610839999996,335.56195068,331.94168091,359.64212036,291.55355835,260.77255249,258.03955078,255.86943054
59,East Asia & Pacific (excluding high income),EAP,37.9426591710026,39.0751228897817,43.5981927071713,49.792046008369105,56.0079971085487,64.3172502262893,73.8657966389907,88.41812523651329,115.60053101221901,137.40710292807898,159.742676503068,198.70943351997,232.313318537196,263.895908610272,287.335708442141,306.315846292803,311.520648370431,341.789280610472,387.198599774383
60,Early-demographic dividend,EAR,66.8989125954366,68.1854580576828,61.856321830819795,68.2179532138378,77.1162724667287,87.8359563301203,98.7706039290399,114.43729666806101,126.46723959278299,128.384036242169,147.848923362606,161.749321222577,169.38490686761298,174.459860227027,174.92375879258802,172.321858142789,165.778891125119,180.898294937806,176.23048136248198
61,East Asia & Pacific,EAS,239.12908351814602,222.492191468854,224.31331965363998,251.743589759606,278.294719732057,292.10934538442103,297.945677293021,322.05361374229,374.62539779316,419.709490404497,478.291456229563,586.6355482913481,626.191348727354,603.85551733787,613.0617591490441,599.624438333544,632.823574901783,665.336363934794,721.796512553885
62,Europe & Central Asia (excluding high income),ECA,91.8609089345054,96.9806133079191,115.96287886151899,142.874587662499,180.870942712925,227.502511404932,278.855868455096,352.75141097929605,438.39482324281306,378.560015134401,412.24903489308406,468.25858385367104,505.145232993266,536.095553832248,498.24969738005404,375.503082564083,360.754746674653,402.84700079165606,411.59643812499604
63,Europe & Central Asia,ECS,941.243357128059,972.530026332337,1097.4143818503999,1360.00647966292,1577.94561913859,1670.44554834414,1790.84035156184,2062.49831615069,2305.6781290660897,2207.48280387552,2192.77686878778,2376.34480272742,2280.9080212183803,2384.6474603792103,2432.8560062936,2103.16863194483,2097.9434542050603,2194.33873145328,2346.6219419159
64,Ecuador,ECU,47.89228439,70.81141663,96.82357788,131.59963989,149.38842773,167.4712677,189.32078552,209.25061035,247.14042664,272.46380615,330.00054932,409.03677368,481.82189941,518.41375732,549.784729,525.99731445,502.74447632,513.07617188,516.24798584
65,"Egypt, Arab Rep.",EGY,73.65684509,73.07783508,68.25554657,53.82350159,53.93090057,63.86014175,71.35442352,78.95716858,97.20935059,106.66519165,113.24819946,125.25486755,150.71841431,150.61959839,167.24708557,183.43261719,153.48695374,113.97537994,125.54537201
66,Euro area,EMU,1749.83858958732,1791.3216188567399,1995.3017160591899,2500.52680944904,2859.1193740141102,2976.5123664990997,3145.95414556685,3568.94680251295,4029.9498535476705,3963.63610511154,3849.36127768286,4113.71556942997,3836.0176260482503,4017.89052929277,4105.87928346261,3521.92601206378,3592.6573225290504,3779.1165928216496,4063.24878456844
67,Eritrea,ERI,13.75257683,14.51352882,15.21526051,18.999118799999998,22.12163734,20.64315796,22.02857018,17.96751404,19.32589912,22.39599228,24.63759232,33.50611496,26.19568443,29.78876877,31.86192322,26.75016403,22.77753258,21.17291069,23.78602791
68,Spain,ESP,1005.28399658,1045.05065918,1174.5793457,1641.05871582,1924.4453125,2060.33081055,2242.17822266,2606.17895508,2995.04980469,2937.53442383,2789.53393555,2909.11767578,2591.01611328,2629.60546875,2679.84814453,2349.23388672,2376.72119141,2522.64428711,2736.32324219
69,Estonia,EST,209.71313477,214.70414734,250.48020935,349.05804443,455.06811523,524.68011475,600.50787354,832.73309326,1038.56225586,963.01965332,926.4541626,1015.96826172,1013.31420898,1144.64685059,1238.92700195,1112.9140625,1186.1027832,1350.38061523,1552.96875
70,Ethiopia,ETH,5.38449526,5.61692476,5.25928497,5.84133863,5.88065052,6.65360308,8.66179371,11.98231506,13.45180225,15.63803864,16.705850599999998,15.11116791,20.66479111,19.88365173,22.27192688,23.91623878,25.07559586,24.92481232,24.22611809
71,European Union,EUU,1431.6981740241902,1474.1575260383302,1650.3652515317099,2070.73338617543,2373.4725119624,2485.46101890179,2635.65411590742,3008.33019681896,3417.6092300755,3341.37054081183,3265.3612374572,3520.9970287856895,3294.77845544699,3461.8319216690898,3535.9981743399703,3036.96622541037,3102.5505383805103,3273.0449713811304,3524.71140271311
72,Fragile and conflict affected situations,FCS,43.474027139759706,44.5265188318495,36.897996132013205,40.937814583141396,47.8810052461426,53.8724578055826,70.85127707543,83.0232279152438,94.4064504864118,101.131191143532,105.899973720687,104.219388665474,106.72864363924101,107.44947996517999,110.537652503951,104.827566147584,93.1165246143326,96.61200108600559,81.37890676665741
73,Finland,FIN,1722.8326415999998,1806.0501709000002,2054.26293945,2606.77587891,3035.97875977,3228.95214844,3407.66552734,3911.96582031,4481.21679688,4347.12158203,4249.60205078,4715.93505859,4572.5234375,4892.09716797,4922.67578125,4127.14990234,4107.06298828,4233.46826172,4515.67724609
74,Fiji,FJI,77.02472687,64.19293213,73.05122375,91.40223694,117.68310547,129.10894775,135.9334259,150.65686035,143.76724243,128.81492615,135.18281555,148.83114624,162.41473389,167.81893921,188.83387756,179.22154236,185.34791565,194.43591309,214.55378723
75,France,FRA,2161.85302734,2192.71582031,2449.75830078,3006.3059082,3458.62744141,3575.02514648,3814.27636719,4318.73876953,4812.53662109,4741.41552734,4598.3203125,4939.31054688,4651.10839844,4901.93310547,4998.66845703,4208.38623047,4268.17431641,4424.5078125,4690.07226563
76,Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,
77,"Micronesia, Fed. Sts.",FSM,168.45785522,190.07368469,178.55958557,219.36360168,270.71679688,417.72436523,257.90270996,272.11096191,304.58193969999996,341.31835938,378.24478149,393.68103027,384.1512146,363.26303101,348.32009888,361.47207642,395.79208374,401.20025635,415.81680298
78,Gabon,GAB,127.64353943,125.76939392,137.28015137,174.10043335,190.86567688,199.58547974,223.30055237,266.2097168,285.39224243,297.41537476,218.85838318,276.11819458,237.59547424,275.01934814,244.43147278,196.16505432,216.90785217,200.56188965,218.36860657
79,United Kingdom,GBR,2054.18041992,2128.29443359,2417.06103516,2833.67700195,3429.6472168000005,3599.93408203,3893.58862305,4505.46728516,4351.27685547,3892.01416016,3955.45141602,4208.41992188,4282.04882813,4350.25537109,4740.86865234,4472.52148438,4066.09350586,3978.6171875,4315.42773438
80,Georgia,GEO,51.85281754,55.22227478,64.06044006,77.73462677,100.87417603,126.44508362,145.05230713,186.61778259,268.14035034,257.06176758,271.0166626,296.68869019,326.47607422,334.68905639999997,345.25598145,275.84082031,301.54577637,285.98770142,312.74691772
81,Ghana,GHA,17.85551643,20.92321587,21.03129005,25.49957466,29.50203323,44.7131424,50.95217896,60.0993042,68.42399597,67.71266937,81.50324249,100.25246429,91.01084137,109.94523621,80.73294067,81.61917114,66.85653687,67.45523071,77.91143036
82,Gibraltar,GIB,,,,,,,,,,,,,,,,,,,
83,Guinea,GIN,23.25868988,22.10671425,25.11627769,25.97815895,26.85185814,19.99720573,16.37105751,22.65211487,23.32725334,24.11268997,23.04640198,24.67529106,24.29986,26.61382103,37.69287872,44.68756485,39.55763626,36.50824356,38.31764221
84,"Gambia, The",GMB,50.86863708,41.45034027,39.55756378,30.87388229,34.72867203,35.80473328,35.87295151,38.60668182,42.96466064,36.94911575,35.2233963,33.1423111,31.41952705,27.41661644,22.47270203,20.98540878,21.80244827,22.71026421,22.15542793
85,Guinea-Bissau,GNB,20.70239449,19.8405323,20.14164352,24.20259094,31.0591526,31.52978706,30.46108055,36.34542084,41.70643997,39.16440582,36.09091187,43.17166519,35.52560806,43.96840286,59.30418015,51.83914566,50.624481200000005,50.57252884,53.29457474
86,Equatorial Guinea,GNQ,40.92737579,58.34743881,73.50776672,106.5741272,143.72882080000002,163.77030945,195.2540741,249.96153259,419.65899658,307.42001343,314.1137085,335.78268433,274.35205078,382.35394287,424.73120117,328.8190918,290.68115234,293.13339233,314.29876709
87,Greece,GRC,885.41040039,1004.81542969,1168.82409668,1566.40979004,1782.69592285,1935.26757813,2052.87548828,2426.75952148,2840.50854492,2809.05957031,2564.36987305,2338.91577148,1948.24816895,1813.8782959000002,1705.11437988,1452.07446289,1488.1986084,1505.94140625,1566.89990234
88,Grenada,GRD,270.98391724,283.47583008,322.0144043,300.36419678,308.14840698,341.89974976,340.39715576,377.75787354,421.84429932,396.14376831,393.33410645,423.11541748,433.50952148,438.27972412,399.53253174,422.72177124,427.51272583,466.74960327,474.5328063999999
89,Greenland,GRL,,,,,,,,,,,,,,,,,,,
90,Guatemala,GTM,83.95554352,100.39343262,107.95598602,113.61289978,122.26273346,132.33413696,148.71377563,158.33392334,174.77886963,168.18478394,173.75178528,189.24290466,198.46655273,196.1355896,213.94274902,229.80619812,241.78253174,259.9125061,259.62017822
91,Guam,GUM,,,,,,,,,,,,,,,,,,,
92,Guyana,GUY,63.14900970000001,60.86844635,65.68416595,68.69402313,79.27994537,87.48361969,101.88665771,129.22839355,143.80787659,154.46517944,176.95066833,190.93255615,195.220047,206.01229858,214.19898987,223.67767334,233.52494812,263.25814819,295.55789185
93,High income,HIC,2404.2379098343,2492.22312072813,2695.8491111545104,3060.27320769806,3370.6893856212896,3549.5202244091206,3738.51609074424,4058.4418513747705,4349.285388366599,4413.17498285157,4556.33782101019,4896.80729853527,4913.19030803844,4951.30275346141,5097.835971440039,4936.12567603552,5099.69153006169,5291.368438150929,5562.42440700806
94,"Hong Kong SAR, China",HKG,,,,,,,,,,,,,,,,,,,
95,Honduras,HND,68.51774597,67.19782257,70.8179245,79.79921722,83.47966766,98.11772919,112.44800568,127.98851013,149.64785767,161.00054932,166.16116333,183.60168457,185.62591553,178.24165344,174.59979248,172.29205322,180.16775513,171.51489258,176.24726868
96,Heavily indebted poor countries (HIPC),HPC,17.1273783708467,16.2612851312212,16.968639045421902,19.756078284394103,23.2001868488857,26.545573939485998,30.8964127223277,36.2106289498111,40.6673431846471,41.1099628025909,43.0178293920141,48.0311562657277,47.45991979737371,51.2371649188945,51.638723148961894,51.2995698394518,51.0251788774047,53.2760055025755,46.5274046939116
97,Croatia,HRV,371.06213379,388.32489014,386.4440918,512.15209961,634.62030029,727.13104248,816.01702881,1041.03442383,1258.87243652,1187.54528809,1126.37365723,1132.49890137,1029.97119141,889.94451904,909.37164307,795.52081299,840.9050292999999,902.62524414,1014.22235107
98,Haiti,HTI,29.78231049,26.90669823,21.99154663,18.31630516,23.67709351,24.89042091,28.71922302,37.11300278,39.96041489,40.94065857,54.9171524,75.70629883,73.75851440000001,58.364696499999994,64.02371216,67.40187836,59.13440323,62.72842407,64.24588013
99,Hungary,HUN,313.10858154,359.69747925,473.12783813,682.86566162,798.45361328,895.20330811,893.20300293,1003.25817871,1117.20227051,943.68768311,983.11083984,1063.43225098,961.1383667000001,990.63116455,1006.15649414,870.51922607,914.19354248,981.03887939,1081.80285645
100,IBRD only,IBD,77.42033452594531,78.49558076759871,77.0795692677723,85.2767452938266,99.1952238816595,116.90857489456002,136.032087078164,164.349015494494,198.053554764989,203.266651592924,234.77948107234698,270.382575051545,288.339806630263,308.04778468955004,315.178422975932,299.440060352261,295.589373221051,328.784597903516,343.894649298415
101,IDA & IBRD total,IBT,64.8674658304379,65.4903732522773,64.194751469515,71.422833436354,82.79495127969291,97.29197578663641,113.06300972405501,135.831818013387,162.661728022168,166.153791764038,190.51023130598801,218.296694190945,231.90748498968998,247.99000729065102,253.412920754341,240.62510788284698,237.37707973918899,261.619015452035,272.09840632418997
102,IDA total,IDA,16.467302707735,15.9801259376759,16.7591170241268,20.817367452431103,23.6721600746218,27.4983481395984,32.4160759390581,37.034695249623795,41.6677079563708,40.9251709874926,44.494914810450794,48.6919996342048,50.668110778934896,54.8401963272261,57.422899909820096,56.5210391940319,54.361448303107096,54.823758436207896,54.115919158874995
103,IDA blend,IDB,19.3070420642067,18.4204350182972,18.7744482969354,26.7476808647194,29.788677840199398,35.8252771794029,43.6720432360853,48.2108780850115,53.0093136247156,48.4039954610146,54.3501980070111,58.9740307378726,64.0889941872413,70.37394977820391,74.6577874462653,70.63804231740599,65.6753691336417,63.117414054301605,68.4185017915828
104,Indonesia,IDN,16.20165443,17.69404984,19.90477753,26.67323875,27.17466164,35.50515366,46.20238876,58.18482971,61.95336533,65.10107422,92.45002747,107.66735077,107.24232483,107.29182434,108.83856201,99.65550232,109.93779755,110.04980469,111.67790985
105,IDA only,IDX,15.0174453551605,14.733399194894199,15.760708839122099,17.873236531987104,20.636235663314302,23.364311754632602,26.823841063034,31.4754767221688,36.0172874691945,37.1924914586783,39.4219418181537,43.386774952653894,43.7316218997888,46.6282116702505,48.3104296190915,49.0571553425824,48.2124587534318,50.36706151653829,46.4323904057029
106,Isle of Man,IMN,,,,,,,,,,,,,,,,,,,
107,India,IND,18.50239372,19.79767799,20.23548126,21.99779892,25.06458473,27.66702271,29.56233788,35.85623932,37.88212204,38.30339432,45.12977219,48.60390472,48.94621658,56.11839676,57.07431793,58.91690063,60.60255051,69.32007599,72.83453369
108,Not classified,INX,,,,,,,,,,,,,,,,,,,
