,LOCATION,INDICATOR,SUBJECT,MEASURE,TIME,Value,Country
141,CZE,EDUADULT,UPPSRY,PC_25_64,2010,75.17765,Czech Republic
142,CZE,EDUADULT,UPPSRY,PC_25_64,2011,74.089088,Czech Republic
143,CZE,EDUADULT,UPPSRY,PC_25_64,2012,73.17282900000001,Czech Republic
144,CZE,EDUADULT,UPPSRY,PC_25_64,2013,72.360344,Czech Republic
145,CZE,EDUADULT,UPPSRY,PC_25_64,2014,71.679962,Czech Republic
146,CZE,EDUADULT,UPPSRY,PC_25_64,2015,70.972054,Czech Republic
147,CZE,EDUADULT,UPPSRY,PC_25_64,2016,70.45525400000001,Czech Republic
148,CZE,EDUADULT,UPPSRY,PC_25_64,2017,69.86615,Czech Republic
149,CZE,EDUADULT,UPPSRY,PC_25_64,2018,69.598511,Czech Republic
150,DNK,EDUADULT,BUPPSRY,PC_25_64,2009,24.137625,Denmark
151,DNK,EDUADULT,BUPPSRY,PC_25_64,2010,23.289925,Denmark
152,DNK,EDUADULT,BUPPSRY,PC_25_64,2011,22.021439,Denmark
153,DNK,EDUADULT,BUPPSRY,PC_25_64,2012,21.165937,Denmark
154,DNK,EDUADULT,BUPPSRY,PC_25_64,2013,20.812916,Denmark
155,DNK,EDUADULT,BUPPSRY,PC_25_64,2014,20.446317999999998,Denmark
156,DNK,EDUADULT,BUPPSRY,PC_25_64,2015,19.628629999999998,Denmark
157,DNK,EDUADULT,BUPPSRY,PC_25_64,2016,19.726067,Denmark
158,DNK,EDUADULT,BUPPSRY,PC_25_64,2017,19.052462,Denmark
159,DNK,EDUADULT,BUPPSRY,PC_25_64,2018,18.940752,Denmark
160,DNK,EDUADULT,TRY,PC_25_64,2009,32.001427,Denmark
161,DNK,EDUADULT,TRY,PC_25_64,2010,33.002644000000004,Denmark
162,DNK,EDUADULT,TRY,PC_25_64,2011,33.662952000000004,Denmark
163,DNK,EDUADULT,TRY,PC_25_64,2012,34.639697999999996,Denmark
164,DNK,EDUADULT,TRY,PC_25_64,2013,35.204632000000004,Denmark
165,DNK,EDUADULT,TRY,PC_25_64,2014,35.800922,Denmark
166,DNK,EDUADULT,TRY,PC_25_64,2015,37.095581,Denmark
167,DNK,EDUADULT,TRY,PC_25_64,2016,37.766045,Denmark
168,DNK,EDUADULT,TRY,PC_25_64,2017,38.889214,Denmark
169,DNK,EDUADULT,TRY,PC_25_64,2018,39.44791,Denmark
170,DNK,EDUADULT,UPPSRY,PC_25_64,2009,43.86095,Denmark
171,DNK,EDUADULT,UPPSRY,PC_25_64,2010,43.707432,Denmark
172,DNK,EDUADULT,UPPSRY,PC_25_64,2011,44.315609,Denmark
173,DNK,EDUADULT,UPPSRY,PC_25_64,2012,44.194365999999995,Denmark
174,DNK,EDUADULT,UPPSRY,PC_25_64,2013,43.982452,Denmark
175,DNK,EDUADULT,UPPSRY,PC_25_64,2014,43.752758,Denmark
176,DNK,EDUADULT,UPPSRY,PC_25_64,2015,43.275791,Denmark
177,DNK,EDUADULT,UPPSRY,PC_25_64,2016,42.507889,Denmark
178,DNK,EDUADULT,UPPSRY,PC_25_64,2017,42.058323,Denmark
179,DNK,EDUADULT,UPPSRY,PC_25_64,2018,41.611340000000006,Denmark
180,FIN,EDUADULT,BUPPSRY,PC_25_64,2009,18.026873000000002,Finland
181,FIN,EDUADULT,BUPPSRY,PC_25_64,2010,17.01717,Finland
182,FIN,EDUADULT,BUPPSRY,PC_25_64,2011,16.27569,Finland
183,FIN,EDUADULT,BUPPSRY,PC_25_64,2012,15.202716,Finland
184,FIN,EDUADULT,BUPPSRY,PC_25_64,2013,14.109433,Finland
185,FIN,EDUADULT,BUPPSRY,PC_25_64,2014,13.493114000000002,Finland
186,FIN,EDUADULT,BUPPSRY,PC_25_64,2015,12.847135,Finland
187,FIN,EDUADULT,BUPPSRY,PC_25_64,2016,12.091855,Finland
188,FIN,EDUADULT,BUPPSRY,PC_25_64,2017,11.896179,Finland
189,FIN,EDUADULT,BUPPSRY,PC_25_64,2018,10.926194,Finland
190,FIN,EDUADULT,TRY,PC_25_64,2009,37.268574,Finland
191,FIN,EDUADULT,TRY,PC_25_64,2010,38.146343,Finland
192,FIN,EDUADULT,TRY,PC_25_64,2011,39.318207,Finland
193,FIN,EDUADULT,TRY,PC_25_64,2012,39.661289000000004,Finland
194,FIN,EDUADULT,TRY,PC_25_64,2013,40.545231,Finland
195,FIN,EDUADULT,TRY,PC_25_64,2014,41.776676,Finland
196,FIN,EDUADULT,TRY,PC_25_64,2015,42.742619,Finland
197,FIN,EDUADULT,TRY,PC_25_64,2016,43.595264,Finland
198,FIN,EDUADULT,TRY,PC_25_64,2017,44.304253,Finland
199,FIN,EDUADULT,TRY,PC_25_64,2018,45.188133,Finland
200,FIN,EDUADULT,UPPSRY,PC_25_64,2009,44.704552,Finland
201,FIN,EDUADULT,UPPSRY,PC_25_64,2010,44.836487,Finland
202,FIN,EDUADULT,UPPSRY,PC_25_64,2011,44.406101,Finland
203,FIN,EDUADULT,UPPSRY,PC_25_64,2012,45.135994000000004,Finland
204,FIN,EDUADULT,UPPSRY,PC_25_64,2013,45.345337,Finland
205,FIN,EDUADULT,UPPSRY,PC_25_64,2014,44.730209,Finland
206,FIN,EDUADULT,UPPSRY,PC_25_64,2015,44.410244,Finland
207,FIN,EDUADULT,UPPSRY,PC_25_64,2016,44.312881,Finland
208,FIN,EDUADULT,UPPSRY,PC_25_64,2017,43.799568,Finland
209,FIN,EDUADULT,UPPSRY,PC_25_64,2018,43.885674,Finland
210,FRA,EDUADULT,BUPPSRY,PC_25_64,2009,29.745791999999998,France
211,FRA,EDUADULT,BUPPSRY,PC_25_64,2010,29.233321999999998,France
212,FRA,EDUADULT,BUPPSRY,PC_25_64,2011,28.385553,France
213,FRA,EDUADULT,BUPPSRY,PC_25_64,2012,27.465465999999996,France
214,FRA,EDUADULT,BUPPSRY,PC_25_64,2013,25.153783999999998,France
215,FRA,EDUADULT,BUPPSRY,PC_25_64,2014,22.681496,France
216,FRA,EDUADULT,BUPPSRY,PC_25_64,2015,22.467602,France
217,FRA,EDUADULT,BUPPSRY,PC_25_64,2016,21.89171,France
218,FRA,EDUADULT,BUPPSRY,PC_25_64,2017,21.615114000000002,France
219,FRA,EDUADULT,BUPPSRY,PC_25_64,2018,20.640024,France
220,FRA,EDUADULT,TRY,PC_25_64,2009,28.588057,France
221,FRA,EDUADULT,TRY,PC_25_64,2010,29.006897,France
222,FRA,EDUADULT,TRY,PC_25_64,2011,29.767,France
223,FRA,EDUADULT,TRY,PC_25_64,2012,30.856122999999997,France
224,FRA,EDUADULT,TRY,PC_25_64,2013,32.105263,France
225,FRA,EDUADULT,TRY,PC_25_64,2014,33.539047,France
226,FRA,EDUADULT,TRY,PC_25_64,2015,34.085361,France
227,FRA,EDUADULT,TRY,PC_25_64,2016,34.582485,France
228,FRA,EDUADULT,TRY,PC_25_64,2017,35.213791,France
229,FRA,EDUADULT,TRY,PC_25_64,2018,36.897490999999995,France
230,FRA,EDUADULT,UPPSRY,PC_25_64,2009,41.666153,France
231,FRA,EDUADULT,UPPSRY,PC_25_64,2010,41.759781,France
232,FRA,EDUADULT,UPPSRY,PC_25_64,2011,41.847446000000005,France
233,FRA,EDUADULT,UPPSRY,PC_25_64,2012,41.67841,France
234,FRA,EDUADULT,UPPSRY,PC_25_64,2013,42.740952,France
235,FRA,EDUADULT,UPPSRY,PC_25_64,2014,43.779457,France
236,FRA,EDUADULT,UPPSRY,PC_25_64,2015,43.447037,France
237,FRA,EDUADULT,UPPSRY,PC_25_64,2016,43.525806,France
238,FRA,EDUADULT,UPPSRY,PC_25_64,2017,43.171093,France
239,FRA,EDUADULT,UPPSRY,PC_25_64,2018,42.462482,France
240,DEU,EDUADULT,BUPPSRY,PC_25_64,2009,14.520242999999999,Germany
241,DEU,EDUADULT,BUPPSRY,PC_25_64,2010,14.189682999999999,Germany
242,DEU,EDUADULT,BUPPSRY,PC_25_64,2011,13.749629999999998,Germany
243,DEU,EDUADULT,BUPPSRY,PC_25_64,2012,13.699094,Germany
244,DEU,EDUADULT,BUPPSRY,PC_25_64,2013,13.679198999999999,Germany
245,DEU,EDUADULT,BUPPSRY,PC_25_64,2014,13.096583,Germany
246,DEU,EDUADULT,BUPPSRY,PC_25_64,2015,13.208749,Germany
247,DEU,EDUADULT,BUPPSRY,PC_25_64,2016,13.523512,Germany
248,DEU,EDUADULT,BUPPSRY,PC_25_64,2017,13.478389000000002,Germany
249,DEU,EDUADULT,BUPPSRY,PC_25_64,2018,13.324821,Germany
250,DEU,EDUADULT,TRY,PC_25_64,2009,26.385326,Germany
251,DEU,EDUADULT,TRY,PC_25_64,2010,26.609147999999998,Germany
252,DEU,EDUADULT,TRY,PC_25_64,2011,27.562323,Germany
253,DEU,EDUADULT,TRY,PC_25_64,2012,28.121571999999997,Germany
254,DEU,EDUADULT,TRY,PC_25_64,2013,28.47327,Germany
255,DEU,EDUADULT,TRY,PC_25_64,2014,27.057884,Germany
256,DEU,EDUADULT,TRY,PC_25_64,2015,27.638234999999998,Germany
257,DEU,EDUADULT,TRY,PC_25_64,2016,28.291722999999998,Germany
258,DEU,EDUADULT,TRY,PC_25_64,2017,28.583370000000002,Germany
259,DEU,EDUADULT,TRY,PC_25_64,2018,29.065134000000004,Germany
260,DEU,EDUADULT,UPPSRY,PC_25_64,2009,59.094432999999995,Germany
261,DEU,EDUADULT,UPPSRY,PC_25_64,2010,59.201168,Germany
262,DEU,EDUADULT,UPPSRY,PC_25_64,2011,58.688049,Germany
263,DEU,EDUADULT,UPPSRY,PC_25_64,2012,58.179337,Germany
264,DEU,EDUADULT,UPPSRY,PC_25_64,2013,57.847530000000006,Germany
265,DEU,EDUADULT,UPPSRY,PC_25_64,2014,59.84553100000001,Germany
266,DEU,EDUADULT,UPPSRY,PC_25_64,2015,59.153015,Germany
267,DEU,EDUADULT,UPPSRY,PC_25_64,2016,58.184765000000006,Germany
268,DEU,EDUADULT,UPPSRY,PC_25_64,2017,57.93824,Germany
269,DEU,EDUADULT,UPPSRY,PC_25_64,2018,57.610046,Germany
270,GRC,EDUADULT,BUPPSRY,PC_25_64,2009,38.5051,Greece
271,GRC,EDUADULT,BUPPSRY,PC_25_64,2010,37.263659999999994,Greece
272,GRC,EDUADULT,BUPPSRY,PC_25_64,2011,35.445217,Greece
273,GRC,EDUADULT,BUPPSRY,PC_25_64,2012,34.217484000000006,Greece
274,GRC,EDUADULT,BUPPSRY,PC_25_64,2013,32.80518,Greece
275,GRC,EDUADULT,BUPPSRY,PC_25_64,2014,31.733679,Greece
276,GRC,EDUADULT,BUPPSRY,PC_25_64,2015,29.780088,Greece
277,GRC,EDUADULT,BUPPSRY,PC_25_64,2016,28.349746999999997,Greece
278,GRC,EDUADULT,BUPPSRY,PC_25_64,2017,27.290607,Greece
279,GRC,EDUADULT,BUPPSRY,PC_25_64,2018,26.630527,Greece
280,GRC,EDUADULT,TRY,PC_25_64,2009,23.656685,Greece
281,GRC,EDUADULT,TRY,PC_25_64,2010,24.744848,Greece
282,GRC,EDUADULT,TRY,PC_25_64,2011,26.112072,Greece
283,GRC,EDUADULT,TRY,PC_25_64,2012,26.719267,Greece
284,GRC,EDUADULT,TRY,PC_25_64,2013,27.423178000000004,Greece
285,GRC,EDUADULT,TRY,PC_25_64,2014,28.105659000000003,Greece
286,GRC,EDUADULT,TRY,PC_25_64,2015,29.057495,Greece
287,GRC,EDUADULT,TRY,PC_25_64,2016,30.231607,Greece
288,GRC,EDUADULT,TRY,PC_25_64,2017,31.027514,Greece
289,GRC,EDUADULT,TRY,PC_25_64,2018,31.739904,Greece
290,GRC,EDUADULT,UPPSRY,PC_25_64,2009,37.838215000000005,Greece
291,GRC,EDUADULT,UPPSRY,PC_25_64,2010,37.991489,Greece
292,GRC,EDUADULT,UPPSRY,PC_25_64,2011,38.442710999999996,Greece
293,GRC,EDUADULT,UPPSRY,PC_25_64,2012,39.063248,Greece
294,GRC,EDUADULT,UPPSRY,PC_25_64,2013,39.771640999999995,Greece
295,GRC,EDUADULT,UPPSRY,PC_25_64,2014,40.160664000000004,Greece
296,GRC,EDUADULT,UPPSRY,PC_25_64,2015,41.162418,Greece
297,GRC,EDUADULT,UPPSRY,PC_25_64,2016,41.418648,Greece
298,GRC,EDUADULT,UPPSRY,PC_25_64,2017,41.681881,Greece
299,GRC,EDUADULT,UPPSRY,PC_25_64,2018,41.629566,Greece
300,HUN,EDUADULT,BUPPSRY,PC_25_64,2009,19.425785,Hungary
301,HUN,EDUADULT,BUPPSRY,PC_25_64,2010,18.707645,Hungary
302,HUN,EDUADULT,BUPPSRY,PC_25_64,2011,18.232164,Hungary
303,HUN,EDUADULT,BUPPSRY,PC_25_64,2012,17.879883,Hungary
304,HUN,EDUADULT,BUPPSRY,PC_25_64,2013,17.505869,Hungary
305,HUN,EDUADULT,BUPPSRY,PC_25_64,2014,16.905603,Hungary
306,HUN,EDUADULT,BUPPSRY,PC_25_64,2015,16.783051,Hungary
307,HUN,EDUADULT,BUPPSRY,PC_25_64,2016,16.637701,Hungary
308,HUN,EDUADULT,BUPPSRY,PC_25_64,2017,15.97375,Hungary
309,HUN,EDUADULT,BUPPSRY,PC_25_64,2018,15.138174,Hungary
310,HUN,EDUADULT,TRY,PC_25_64,2009,19.86219,Hungary
311,HUN,EDUADULT,TRY,PC_25_64,2010,20.121918,Hungary
312,HUN,EDUADULT,TRY,PC_25_64,2011,21.124001,Hungary
313,HUN,EDUADULT,TRY,PC_25_64,2012,22.046715,Hungary
314,HUN,EDUADULT,TRY,PC_25_64,2013,22.505820999999997,Hungary
315,HUN,EDUADULT,TRY,PC_25_64,2014,23.356073000000002,Hungary
316,HUN,EDUADULT,TRY,PC_25_64,2015,24.242552,Hungary
317,HUN,EDUADULT,TRY,PC_25_64,2016,23.713329,Hungary
318,HUN,EDUADULT,TRY,PC_25_64,2017,24.054041,Hungary
319,HUN,EDUADULT,TRY,PC_25_64,2018,25.101177,Hungary
320,HUN,EDUADULT,UPPSRY,PC_25_64,2009,60.712025,Hungary
321,HUN,EDUADULT,UPPSRY,PC_25_64,2010,61.170437,Hungary
322,HUN,EDUADULT,UPPSRY,PC_25_64,2011,60.643832999999994,Hungary
323,HUN,EDUADULT,UPPSRY,PC_25_64,2012,60.073402,Hungary
324,HUN,EDUADULT,UPPSRY,PC_25_64,2013,59.988312,Hungary
325,HUN,EDUADULT,UPPSRY,PC_25_64,2014,59.738323,Hungary
326,HUN,EDUADULT,UPPSRY,PC_25_64,2015,58.9744,Hungary
327,HUN,EDUADULT,UPPSRY,PC_25_64,2016,59.648968,Hungary
328,HUN,EDUADULT,UPPSRY,PC_25_64,2017,59.97220600000001,Hungary
329,HUN,EDUADULT,UPPSRY,PC_25_64,2018,59.760651,Hungary
330,ISL,EDUADULT,BUPPSRY,PC_25_64,2009,30.005921999999998,Iceland
331,ISL,EDUADULT,BUPPSRY,PC_25_64,2010,29.282290999999997,Iceland
332,ISL,EDUADULT,BUPPSRY,PC_25_64,2011,29.195244,Iceland
333,ISL,EDUADULT,BUPPSRY,PC_25_64,2012,29.207808,Iceland
334,ISL,EDUADULT,BUPPSRY,PC_25_64,2013,27.830322,Iceland
335,ISL,EDUADULT,BUPPSRY,PC_25_64,2014,26.743409999999997,Iceland
336,ISL,EDUADULT,BUPPSRY,PC_25_64,2015,25.303907000000002,Iceland
337,ISL,EDUADULT,BUPPSRY,PC_25_64,2016,22.001960999999998,Iceland
